year,name,cname,abr,votes,tot
2014,Anantapur Urban,V.Govardhan Reddy,INC,1473,505636
2014,Anantapur Urban,S.Ismail,LSP,2121,505636
2014,Anantapur Urban,Palyam Narayanaswamy,CPI,2363,505636
2014,Anantapur Urban,V. Rambhupal,CPM,3352,505636
2014,Anantapur Urban,B Gurunatha Reddy,YSRCP,65370,505636
2014,Anantapur Urban,V. Prabhakar Chowdary,TDP,74704,505636
2009,Guntakal,G. Veeranjeneya,BHSASP,583,217807
2009,Guntakal,Pasupula Hari Haranath,BJP,1570,217807
2009,Guntakal,D.Hemadri,IND,1610,217807
2009,Guntakal,T.Obilesu,BSP,2740,217807
2009,Guntakal,Pathi Ravi,PRAP,20417,217807
2009,Guntakal,Sainath Goud Ramagowni,TDP,51753,217807
2009,Guntakal,Madhusudhan,INC,61097,217807
2014,Guntakal,B. Obulesu,IND,122,464250
2014,Guntakal,E. Suresh Babu,IND,146,464250
2014,Guntakal,Nallabothula Ramesh,AAAP,151,464250
2014,Guntakal,D.M.D.Zabeeulla,RPS,179,464250
2014,Guntakal,B.Sreenivasulu,IND,181,464250
2014,Guntakal,S. Jakir,IND,196,464250
2014,Guntakal,T. Shakunthala,IND,217,464250
2014,Guntakal,P.Ramanjineyulu,PPOI,224,464250
2014,Guntakal,K.Jeenathunnisa,IND,271,464250
2014,Guntakal,Bavigadda Obulaiah,IND,333,464250
2014,Guntakal,D.Udaykiran,IND,356,464250
2014,Guntakal,Talari Parusuramudu,JASPA,451,464250
2014,Guntakal,Gaddala Nagabhushanam,BSP,486,464250
2014,Guntakal,D.B.Radhakrishna Yadav,IND,668,464250
2014,Guntakal,Thammineni Pushpa Latha,STR,690,464250
2014,Guntakal,None Of The Above,NOTA,717,464250
2014,Guntakal,Yeruru Mahaboob Basha,AIMIM,741,464250
2014,Guntakal,M. Ramanjaneyulu,IND,1106,464250
2014,Guntakal,S.Rammohan,LSP,1302,464250
2014,Guntakal,K. Prabhakar,INC,2251,464250
2014,Guntakal,Boyagadda Venkatramaiah,BJP,3865,464250
2014,Guntakal,Y. Venkata Rami Reddy,YSRCP,76561,464250
2014,Guntakal,R. Jithendra Goud,TDP,81655,464250
1978,Rayadurg,Chandragiri Motappa,IND,1499,98618
1978,Rayadurg,Obanaik,INC,8277,98618
1978,Rayadurg,Uddihal Motappa,JNP,26363,98618
1978,Rayadurg,K.B.Chennamllappa,INC(I),31591,98618
1983,Rayadurg,Sugali Megya Naik,IND,129,106986
1983,Rayadurg,Motappa,IND,659,106986
1983,Rayadurg,B. Thippaiah,IND,666,106986
1983,Rayadurg,Ulikantappa,INC,21141,106986
1983,Rayadurg,Kata Govindappa,IND,22822,106986
1983,Rayadurg,P. Venngopal Reddy,IND,26203,106986
1985,Rayadurg,U. Lingareddy,JNP,34588,116102
1985,Rayadurg,Huli Kuntaprao,INC,41777,116102
1994,Rayadurg,J. Kairunnisa,IND,22,150237
1994,Rayadurg,Kristappa,IND,77,150237
1994,Rayadurg,Muddu Krishna,IND,188,150237
1994,Rayadurg,Nayakula Narasimhulu,IND,262,150237
1994,Rayadurg,Nayakula Anjineyulu,IND,355,150237
1994,Rayadurg,Khuddus,IND,3255,150237
1994,Rayadurg,Patil Venugopal Reddy,INC,41983,150237
1994,Rayadurg,Bandi Hulikuntappa,TDP,62716,150237
1999,Rayadurg,Ramanjaneyulu,IND,524,165763
1999,Rayadurg,Satish Kumar,PPOI,592,165763
1999,Rayadurg,Srinivasa Gupta,ATDP,805,165763
1999,Rayadurg,Nagaraju,IND,1043,165763
1999,Rayadurg,Pujari Jitendrappa,TDP,49851,165763
1999,Rayadurg,Patil Venugopal Reddy,INC,59086,165763
2004,Rayadurg,Munnemm Somanath,IND,2184,174956
2004,Rayadurg,R.Manjunatha,IND,2832,174956
2004,Rayadurg,Patil Venugopal Reddy,INC,56083,174956
2004,Rayadurg,Mettu Govinda Reddy,TDP,66188,174956
1989,Rayadurg,Motappa,IND,409,139382
1989,Rayadurg,Megya Naik,IND,555,139382
1989,Rayadurg,Khasim Sab,IND,858,139382
1989,Rayadurg,Kata Govindappa,TDP,41000,139382
1989,Rayadurg,Patil Venugopal Reddy,INC,47550,139382
2009,Rayadurg,C Nagaraju,PPOI,776,198167
2009,Rayadurg,P Mohan,BHSASP,885,198167
2009,Rayadurg,Andra Prasad,LSP,1072,198167
2009,Rayadurg,Govinda Reddy,IND,2164,198167
2009,Rayadurg,Palegaru Thippe Swamy,BJP,2860,198167
2009,Rayadurg,Bosula Manohar,PRAP,9670,198167
2009,Rayadurg,Mettu Govinda Reddy,TDP,62168,198167
2009,Rayadurg,Kapu Ramachandra Reddy,INC,76259,198167
2014,Rayadurg,U Ramachandra Reddy,IND,366,451720
2014,Rayadurg,Amireddy Venkata Reddy,IND,395,451720
