name,mandal,year,age,area,community,edu,electioncat,occupation,party,sex,electedas
S Raghunadha Reddy,C.K.Palli,2001,,C Kpalli  1,,,,,TDP,,MPTC
Thipaiahgari Gopal Reddy,C.K.Palli,2001,,Nagasamudram,,,,,TDP,,MPTC
Thrragabatha Chowdamma,Chilamathur,2001,,Koduru 1,,,,,INC,,MPTC
Buttulu Adeppa,Chilamathur,2001,,Chilamathur 3,,,,,TDP,,MPTC
B Venkatalakshmamma,Chilamathur,2001,,Morasalapalli,,,,,INC,,MPTC
Narasimhappa,Chilamathur,2001,,Tekuledu,,,,,TDP,,MPTC
C A Surya Narayana,Chilamathur,2001,,Chagaleru,,,,,INC,,MPTC
V Sivappa,Chilamathur,2001,,Koduru 2,,,,,TDP,,MPTC President
K S Bramaramba,Chilamathur,2001,,Somagatta,,,,,TDP,,MPTC
Lakshmidevamma,Chilamathur,2001,,Veerapuram,,,,,TDP,,MPTC
Lakshminarayanappa,Chilamathur,2001,,Chilamathur 1,,,,,INC,,MPTC
Surendra Reddy,Chilamathur,2001,,Chilamathur 2,,,,,TDP,,MPTC
B Hanumantha Reddy,Chilamathur,2001,,Settipalli,,,,,INC,,MPTC
V Gangappa,Chilamathur,2001,,Demakethepalli,,,,,TDP,,MPTC
M R Murali,Chilamathur,2001,,Kodikonda,,,,,INC,,MPTC
Tunkara Palli Parameswarappa,D.Hirehal,2001,,Muradi,,,,,INC,,MPTC
Kenjala Hanumakka,D.Hirehal,2001,,Nagalapuram,,,,,TDP,,MPTC
Karepparu Raju,D.Hirehal,2001,,Obulapuram,,,,,TDP,,MPTC
Thurpanti Hanumanthappa,D.Hirehal,2001,,Madanahalli,,,,,TDP,,MPTC
Chinna Siruvallappa,D.Hirehal,2001,,Kadalur,,,,,INC,,MPTC
Nara Adilakshmi,D.Hirehal,2001,,M Hanumapuram,,,,,TDP,,MPTC
Pushpavathi,D.Hirehal,2001,,D Hirehal,,,,,TDP,,MPTC President
Vara Lakshmi,D.Hirehal,2001,,Kadlur,,,,,INC,,MPTC
Marri Basappa,D.Hirehal,2001,,Pulakurthi,,,,,TDP,,MPTC
V.Balajinaik,Dharmavaram,2001,,Elukuntla,,,,,INC,,MPTC
Adilaxmi,Dharmavaram,2001,,Darsimala,,,,,INC,,MPTC
R Srinivasulu,Dharmavaram,2001,,Mallakalva,,,,,TDP,,MPTC
Ganduluri Rajamma,Dharmavaram,2001,,Gotlur 1,,,,,TDP,,MPTC
Chelimi Sanjappa,Dharmavaram,2001,,Chigicherla,,,,,TDP,,MPTC
Mala Gundla Gurappa,Dharmavaram,2001,,Regatipalli,,,,,TDP,,MPTC
Thalari Pakkirappa,Dharmavaram,2001,,Kunuthur,,,,,INC,,MPTC
Krishnamma,Dharmavaram,2001,,Thummala,,,,,INC,,MPTC
T.Narasimha Reddy,Dharmavaram,2001,,Ravulacheruvu,,,,,TDP,,MPTC
Sake Maddileti,Dharmavaram,2001,,Pothulanagepalli,,,,,TDP,,MPTC President
Matteddula Obi Reddi,Dharmavaram,2001,,Gotlur 2,,,,,BJP,,MPTC
