name,mandal,year,age,area,community,edu,electioncat,occupation,party,sex,electedas
P Vannurappa,Uravakonda,2001,,Budagavi,,,,,INC,,MPTC
Adoni Boya Gurudas,Uravakonda,2001,,Nimbagal,,,,,TDP,,MPTC
Chidarapadu Sunkanna,Uravakonda,2001,,Uravakonda 2,,,,,TDP,,MPTC
Madineni Chandrakala,Uravakonda,2001,,Uravakonda 3,,,,,TDP,,MPTC President
Erramma,Uravakonda,2001,,Uravakonda 5,,,,,TDP,,MPTC
E Girijamma,Uravakonda,2001,,Uravakonda 7,,,,,TDP,,MPTC
Veluri Padmavathi,Uravakonda,2001,,Amidala 2,,,,,TDP,,MPTC
Chinnapolu Vannur Swamy,Uravakonda,2001,,Lathavaram,,,,,TDP,,MPTC
Kondeti Laxmanna,Uravakonda,2001,,Mopidi,,,,,TDP,,MPTC
Magbool,Uravakonda,2001,,Uravakonda 1,,,,,INC,,MPTC
S Venkateswara,Uravakonda,2001,,Uravakonda 4,,,,,IND,,MPTC
Chintha Venkataiah,Uravakonda,2001,,Uravakonda 6,,,,,IND,,MPTC
Bassi Muni,Vajrakarur,2001,,Thatrakal,,,,,INC,,MPTC
Sake Dhanamma,Vajrakarur,2001,,Konakondla 2,,,,,INC,,MPTC
Pamidi Anjanaiah,Vajrakarur,2001,,Vajrakarur 1,,,,,TDP,,MPTC
G Lakshmikanthamma,Vajrakarur,2001,,Gulapalem,,,,,INC,,MPTC
Besta Sunkamma,Vajrakarur,2001,,P C Pyapalli,,,,,TDP,,MPTC
P Srinivasulu Naidu,Vajrakarur,2001,,Pandikunta,,,,,TDP,,MPTC
Sirivaram Rajendra Prasad,Vajrakarur,2001,,Gadehothur,,,,,INC,,MPTC
Narayanappa,Vajrakarur,2001,,Chabala,,,,,INC,,MPTC
Daruru Kamalamma,Vajrakarur,2001,,Chayapuram,,,,,TDP,,MPTC
T Vara Lakshmi,Vajrakarur,2001,,Vajrakarur 2,,,,,TDP,,MPTC
Ramavath Sanenaik,Vajrakarur,2001,,Venkatampalli,,,,,INC,,MPTC
Ramachandra,Vajrakarur,2001,,Konakondla 1,,,,,INC,,MPTC President
P Narasimha Reddy,Vajrakarur,2001,,Ragulapadu,,,,,TDP,,MPTC
Harijan Chinna Beemakka,Vidapanakal,2001,,Gadekal,,,,,TDP,,MPTC
Bommaiahgari Hemavathi,Vidapanakal,2001,,Palthur 1,,,,,TDP,,MPTC
Kuruba Parvathamma,Vidapanakal,2001,,Undabanda,,,,,TDP,,MPTC
Jinka Lakshmi Devi,Vidapanakal,2001,,V Kothakota,,,,,TDP,,MPTC
Dasari Renuka,Vidapanakal,2001,,Hanchanahal,,,,,TDP,,MPTC President
Bangaru Yerriswamy,Vidapanakal,2001,,Havaligi,,,,,INC,,MPTC
Jogi Yerriswamy,Vidapanakal,2001,,Vidapanakal,,,,,TDP,,MPTC
P Shakuntala,Vidapanakal,2001,,Karakamukkala,,,,,INC,,MPTC
Thimmapuram Vasundaramma,Vidapanakal,2001,,Veligonda,,,,,TDP,,MPTC
Gutla Venkatesulu,Vidapanakal,2001,,Donekal,,,,,TDP,,MPTC
Modupalli Ramanjaneyulu,Vidapanakal,2001,,Kottalapalli,,,,,IND,,MPTC
Madiga Yannappa,Vidapanakal,2001,,Palthur 2,,,,,TDP,,MPTC
Rayala Narayana Swamy,Vidapanakal,2001,,Poliki,,,,,TDP,,MPTC
Goggira Balakka,Yadiki,2001,,C Lakshmampalli,,,,,INC,,MPTC
Nallabothula Lakshminarayana,Yadiki,2001,,Chandana,,,,,INC,,MPTC
Gunda Venkatamma,Yadiki,2001,,Yadiki 2,,,,,CPI,,MPTC
Goddumarri Dhanalakshmi,Yadiki,2001,,Yadiki 3,,,,,INC,,MPTC
Pusa Sanjanna,Yadiki,2001,,Thutrallapalli,,,,,CPI,,MPTC
Mande Venkatareddy,Yadiki,2001,,P Vengannapalli,,,,,INC,,MPTC
Polamada Ramakrishna,Yadiki,2001,,Boyareddypalli,,,,,TDP,,MPTC
Lakshmi Devi V,Yadiki,2001,,Bogalakatta,,,,,INC,,MPTC
Madda Nagalakhsmamma,Yadiki,2001,,Gudipadu,,,,,TDP,,MPTC
Madala Murali Naidu,Yadiki,2001,,Rayalacheruvu,,,,,INC,,MPTC
Bala Ravikishore,Yadiki,2001,,Yadiki 1,,,,,INC,,MPTC President
Orekanti Lakshmi Reddy,Yadiki,2001,,Yadiki 4 (pinnepalli),,,,,INC,,MPTC
Madasu Kamalamma,Yellanur,2001,,Yellanur 2,,,,,INC,,MPTC
Nasolla Anjineyulu,Yellanur,2001,,Boppepalli,,,,,INC,,MPTC
Dasari Nagamunemma,Yellanur,2001,,Yellanur 1,,,,,INC,,MPTC
Narayanagari Ramachandrudu,Yellanur,2001,,Chilamakur,,,,,INC,,MPTC
Pedda Nagaiah,Yellanur,2001,,Bukkapuram,,,,,INC,,MPTC
Puchi Nagamma,Yellanur,2001,,Goddumarri,,,,,INC,,MPTC
Vennapusa Lakshmi Kanthammma,Yellanur,2001,,Vennapusapalli,,,,,INC,,MPTC
Kondala Naidu,Yellanur,2001,,Kallur,,,,,INC,,MPTC
Kethi Reddy Peda Reddy,Yellanur,2001,,Chinthakayamanda,,,,,INC,,MPTC President
Kasi Reddy Subbareddy,Yellanur,2001,,Vemulapalli,,,,,INC,,MPTC
Ammajamma,Agali,2006,26.0,Agali 1,,10th,BCW,,TDP,F,MPTC
Vanajakshamma,Agali,2006,41.0,Agali 2,,Intermediate,URW,Cultivation,INC,F,MPTC
Seetharamappa,Agali,2006,61.0,Inagalore,,5TH,,Cultivation,TDP,M,MPTC
Hanumakka,Agali,2006,49.0,Kodipalli,,,SCW,Cultivation,TDP,F,MPTC
Nirmala,Agali,2006,39.0,Madhudi,,Intermediate,BCW,,TDP,F,MPTC
Lakshmamma,Agali,2006,21.0,Narasambudi,,,URG,,INC,F,MPTC
Gangamma,Agali,2006,41.0,P.Byadigera,,3rd,URG,Cultivation,INC,F,MPTC President
Jayamma,Agali,2006,32.0,R.G.Halli,,10TH,URW,Cultivation,INC,F,MPTC
Eranna,Agali,2006,64.0,Ravudi,,4th,SCG,Cultivation,INC,M,MPTC
Lunjala Ravi,Amadagur,2006,31.0,Amadagur,MALA,SSC PASS,SC,CULTIVATION,INC,M,MPTC
G.Narendra Reddy,Amadagur,2006,29.0,Chinaganipalli,KAPU,SSC PASS,UR,CULTIVATION,TDP,M,MPTC President
Maka Krishna Reddy,Amadagur,2006,54.0,Gunduvaripalli,KAPU,SSC FAIL,,CULTIVATION,TDP,M,MPTC
Talamarla Venkataramanamma,Amadagur,2006,37.0,Jowkulakothapalli,GANDLA,,BC[W],,TDP,F,MPTC
Pichili Leelavathi,Amadagur,2006,31.0,Mahammadabad,KAPU,SSC PASS,UR[W],AGRICULTURE,TDP,F,MPTC
Gudisi Venkata Malli Reddy,Amadagur,2006,50.0,Pulakuntapalli,KAPU,SSC FAIL,UR,CULTIVATION,TDP,M,MPTC
Utakur Kristappa,Amadagur,2006,33.0,Thummala,CHAKALA,IX CLASS,BC,CULTIVATION,TDP,M,MPTC
Lakshmamma,Amarapuram,2006,37.0,Aladapalli,,,BCW,,INC,F,MPTC
Girajamma.K,Amarapuram,2006,51.0,Amarapuram 1,BOYA,,URW,,INC,F,MPTC
Mallesappa,Amarapuram,2006,35.0,Amarapuram 2,LINGAYAT,,URG,AGRICULTURE,INC,M,MPTC
Vijayamma,Amarapuram,2006,24.0,Amarapuram 3,VAKKALIGA,,URW,,TDP,F,MPTC
Rangareddy,Amarapuram,2006,32.0,Bhavanapalli,KAPU,,URG,AGRICULTURE,INC,M,MPTC
Nagabhusanam,Amarapuram,2006,60.0,Halukur 1,VAKKALIGA,,URG,AGRICULTURE,TDP,M,MPTC
Nagaraju,Amarapuram,2006,41.0,Halukur 2,,,BCG,AGRICULTURE,TDP,M,MPTC
Renuka,Amarapuram,2006,24.0,Hemavathi 1,,,BCG,,TDP,F,MPTC
Govindaraya,Amarapuram,2006,28.0,Hemavathi 2,,,SCG,AGRICULTURE,INC,M,MPTC
Govindarayappa,Amarapuram,2006,49.0,Nidragatta,,,BCG,AGRICULTURE,INC,M,MPTC
N.Sreeramareddy,Amarapuram,2006,55.0,Sivaram,KAPU,,URG,AGRICULTURE,INC,M,MPTC
Nigamma,Amarapuram,2006,57.0,Thammedepalli 1,KURUBA,,URW,,TDP,F,MPTC
E.Krishnamurthy,Amarapuram,2006,39.0,Thammedepalli 2,VAKKALIGA,,URG,AGRICULTURE,TDP,M,MPTC President
Neelamma,Amarapuram,2006,28.0,Valasa 1,,,SCW,,TDP,F,MPTC
K.Thippe Swamy,Amarapuram,2006,45.0,Valasa 2,,,SCG,AGRICULTURE,TDP,M,MPTC
Chakali Alivelu,Ananthapuramu Rural,2006,,A.Narayanapuram 3,,,BC(W),,TDP,Female,MPTC
K.Manoj Kumar,Ananthapuramu Rural,2006,29.0,A.Narayanapuram 1,,Intermediate,URG,AGRICULTURE,TDP,M,MPTC
B.Akhila,Ananthapuramu Rural,2006,35.0,A.Narayanapuram 2,,10th class,URW,AGRICULTURE,INC,F,MPTC
M.Syam Sundar,Ananthapuramu Rural,2006,31.0,A.Narayanapuram 4,,10th class,URG,AGRICULTURE,TDP,M,MPTC
C.Veeranjaneyulu,Ananthapuramu Rural,2006,32.0,A.Narayanapuram 5,,5th class,URG,AGRICULTURE,TDP,M,MPTC
G.Narayanareddy,Ananthapuramu Rural,2006,42.0,Akuthotapalli,,9th class,URG,AGRICULTURE,INC,M,MPTC
G.Balanarasimhulu,Ananthapuramu Rural,2006,34.0,Alamur,,2nd class,BCG,AGRICULTURE,TDP,M,MPTC
R.Hemalatha,Ananthapuramu Rural,2006,22.0,Ananthapuramu Rural,,Intermediate,SCG,AGRICULTURE,TDP,F,MPTC President
T.Jyothi,Ananthapuramu Rural,2006,25.0,Chiyyedu,,10th class,URW,AGRICULTURE,INC,F,MPTC
G.Sreeramulu,Ananthapuramu Rural,2006,52.0,Itukalapalli,,10th class,URG,AGRICULTURE,TDP,M,MPTC
S.Madhavilatha,Ananthapuramu Rural,2006,32.0,Kakkalapalli,,7th class,URG,AGRICULTURE,TDP,F,MPTC
M.Adilakshmi,Ananthapuramu Rural,2006,24.0,Kakkalapalli Colony 1,,10th class,SCW,AGRICULTURE,INC,F,MPTC
G.Raghuramaiah,Ananthapuramu Rural,2006,42.0,Kakkalapalli Colony 2,,5th class,BCG,AGRICULTURE,CPI,M,MPTC
K.Govindareddy,Ananthapuramu Rural,2006,30.0,Kandukur,,10th class,URG,AGRICULTURE,INC,M,MPTC
B.Eswaraiah,Ananthapuramu Rural,2006,29.0,Kurugunta,,10th class,SCG,AGRICULTURE,INC,M,MPTC
B.Yerriswamy,Ananthapuramu Rural,2006,35.0,N.N.Kunta,,BA,BCG,AGRICULTURE,TDP,M,MPTC
G.Cennakrishnareddy,Ananthapuramu Rural,2006,34.0,Rachanapalli,,B.Sc,URG,AGRICULTURE,TDP,M,MPTC
L.Narasamma,Ananthapuramu Rural,2006,27.0,Rajeev Colony,,10th class,SCG,AGRICULTURE,CPI,M,MPTC
G.Thirupalu,Ananthapuramu Rural,2006,42.0,Rudrampeta 1,,,BCG,AGRICULTURE,TDP,M,MPTC
B.Varalakshmi,Ananthapuramu Rural,2006,40.0,Rudrampeta 2,,10th class,URW,AGRICULTURE,CPI,F,MPTC
D.Venkatesulu,Ananthapuramu Rural,2006,24.0,Rudrampeta 3,,,STG,AGRICULTURE,TDP,M,MPTC
K.Anjinamma,Ananthapuramu Rural,2006,40.0,Somuladoddi,,,BCW,AGRICULTURE,INC,F,MPTC
D.Obireddy,Ananthapuramu Rural,2006,44.0,Uparapalli,,Intermediate,URG,AGRICULTURE,TDP,M,MPTC
G.Thippakka,Atmakur,2006,59.0,Atmakur 1,,,URW,Agriculure,TDP,F,MPTC
B.Muthyalamma,Atmakur,2006,24.0,Atmakur 2,,10th class,OC(G),,INC,M,MPTC
D.Hanumanthu Naik,Atmakur,2006,49.0,Goridindla,,5th class,OC(G),,INC,M,MPTC President
A.Ramulamma,Atmakur,2006,34.0,Madigubba,,5th class,BC(W),,TDP,F,MPTC
D.Lakshmireddy,Atmakur,2006,37.0,Muttala,,7th class,OC(G),Agriculure,INC,M,MPTC
P.Jayamma,Atmakur,2006,44.0,P.Yaleru,,7th class,URW,Agriculure,INC,F,MPTC
U.Krishna Reddy,Atmakur,2006,44.0,Sanapa,,6th class,OC(G),Agriculure,INC,M,MPTC
Ontikoduku Obulesu,Atmakur,2006,54.0,Talupur,,3rd class,SC(G),Agriculure,INC,M,MPTC
T.Obilesu,Atmakur,2006,34.0,Thopudurthy,,10th class,BC(G),Agriculure,INC,M,MPTC
P.Kaliya Naik,Atmakur,2006,29.0,Vepecherla,,BA,ST(G),,TDP,M,MPTC
Adinarayana,Bathalapalli,2006,35.0,Apparacheruvu,,X CLASS,S.C(G),AGRICULTURE,TDP,M,MPTC
Mandala Venkata Lakshmi,Bathalapalli,2006,42.0,Bathalapalli 1,,,URG,AGRICULTURE,INC,F,MPTC
S.Chinna Venkata Ramudu,Bathalapalli,2006,55.0,Bathalapalli 2,,V CLASS,S.T(G),AGRICULTURE,INC,M,MPTC
Amangamma,Bathalapalli,2006,49.0,Bathalapalli 3,,,S.C(W),AGRICULTURE,TDP,F,MPTC
G.Lakshminarayana,Bathalapalli,2006,34.0,D.Cherlopalli,,V CLASS,B.C(G),AGRICULTURE,TDP,M,MPTC
C.Chinnanarayana,Bathalapalli,2006,34.0,Dampetla,,X CLASS,URG,AGRICULTURE,TDP,M,MPTC President
B.Ramakrishna,Bathalapalli,2006,24.0,Gariselapalli,,VII CLASS,URG,AGRICULTURE,TDP,M,MPTC
Gavvala Narasamma,Bathalapalli,2006,37.0,Malyavantham,,9TH Class,BC(W),,TDP,Female Agrl.,MPTC
J.Pulla Naidu,Bathalapalli,2006,49.0,Sanjeevapuram,,VI CLASS,URG,AGRICULTURE,TDP,M,MPTC
A.Ramanna,Bathalapalli,2006,67.0,Thambapuram,,,B.C(G),AGRICULTURE,INC,M,MPTC
G.Sankaraiah,Beluguppa,2006,34.0,Ankampalli,,VII CLASS,,AGRICULTURE,TDP,M,MPTC
G.Radhamma,Beluguppa,2006,35.0,B.Ramasagaram,,V CLASS,URG,AGRICULTURE,TDP,F,MPTC
Suryanarayana,Beluguppa,2006,32.0,Beluguppa 1,,VII CLASS,S.C (G),AGRICULTURE,TDP,M,MPTC
Lingamma,Beluguppa,2006,49.0,Beluguppa 2,,V CLASS,B.C(W),AGRICULTURE,TDP,F,MPTC President
T.Ratnamma,Beluguppa,2006,28.0,Duddekunta,,,UR(G),AGRICULTURE,INC,F,MPTC
P.Yerriswamy,Beluguppa,2006,60.0,Gangavaram,,,UR(G),AGRICULTURE,INC,M,MPTC
S.Mangamma,Beluguppa,2006,23.0,Kalavapalli,,,S.T.(W),AGRICULTURE,INC,F,MPTC
H.Marekka,Beluguppa,2006,54.0,N.Gundlapalli,,,S.C(W),,TDP,F,MPTC
P.Aruna,Beluguppa,2006,23.0,Narasapuram,,VII CLASS,URW,AGRICULTURE,TDP,F,MPTC
Ratnamma,Beluguppa,2006,29.0,Seeripi,,,URG,AGRICULTURE,TDP,F,MPTC
U.Gowramma,Beluguppa,2006,35.0,Sreerangapuram,,,B.C(G),AGRICULTURE,INC,F,MPTC
K.Puspavathi,Beluguppa,2006,35.0,Thagguparthi,,B.A,B.C(G),AGRICULTURE,INC,F,MPTC
Hanumanna Gowd,Bommanahal,2006,28.0,Bandur,LINGAYAT,X CLASS,URG,AGRICULTURE,INC,M,MPTC
Kanni Parveen Bhanu,Bommanahal,2006,23.0,Bollanaguddam,MUSLIM,,URW,HOUSE WIFE,INC,F,MPTC
K.Hanumantharaya,Bommanahal,2006,41.0,Bommanahal,KURUBA,,B.C.(G).,AGRICULTURE,INC,M,MPTC
K.P.Vannurappa,Bommanahal,2006,58.0,D.Honnur 1,BOYA,S.S.L.C.,URG,AGRICULTURE,TDP,M,MPTC
B.Adilakshmi,Bommanahal,2006,21.0,D.Honnur 2,MADIGA,V CLASS,S.C.(W),AGRICULTURE,TDP,F,MPTC
Subhan Bee,Bommanahal,2006,34.0,Govindawada 1,DUDEKULA,,URW,HOUSE WIFE,INC,F,MPTC
Annapuranamma,Bommanahal,2006,27.0,Govindawada 2,JANGAMA,VII  CLASS,B.C (W),HOUSE WIFE,INC,F,MPTC
Kuruba Hanumanthappa,Bommanahal,2006,39.0,Kolaganahalli,KURUBA,VIIICLASS,URG,AGRICULTURE,INC,M,MPTC
K.P.Katte Gowd,Bommanahal,2006,41.0,Kuruvalli,LINGAYHAT,P.U.C,URG,AGRICULTURE,INC,M,MPTC
Boya Vandramma,Bommanahal,2006,22.0,Lingadahal,BOYA,V CLASS,B.C(W),HOUSE WIFE,INC,F,MPTC
K.Hanumantha Reddy,Bommanahal,2006,,Singanahalli,,,UR(G),,INC,Male,MPTC
Devarinti Thippeswamy,Bommanahal,2006,26.0,Sreedharagatta,UPPARA,,B.C (G),AGRICULTURE,TDP,M,MPTC
P.Lalu Sab,Bommanahal,2006,50.0,Uddehal,DUDEKULA,VI CLASS,B.C(G),BUSINESS,INC,M,MPTC President
Anjineyulu,Bommanahal,2006,35.0,Untakal,MADIGA,,S.C(G),AGRICULTURE,TDP,M,MPTC
Nagamani,Bramhasamudram,2006,22.0,Bhairavanithippa,LINGAYAT,10TH,URW,AGRICULTURE,TDP,F,MPTC
Bp.Sivaprasad,Bramhasamudram,2006,30.0,Bhyrasamudram,LINGAYAT,B.E.,URG,AGRICULTURE,INC,M,MPTC
G.Ramachandrappa,Bramhasamudram,2006,51.0,Bommaganipalli,GOLLA,5TH,BCG,AGRICULTURE,TDP,M,MPTC President
Kenchappa,Bramhasamudram,2006,34.0,Bramhasamudram,GOLLA,4TH,BCG,AGRICULTURE,INC,M,MPTC
K.P.Chandrasekhar Reddy,Bramhasamudram,2006,48.0,Kannepalli,LINGAYAT,10TH,URG,AGRICULTURE,TDP,M,MPTC
H.Kollakka,Bramhasamudram,2006,34.0,Palavenkatapuram,MADIGA,5TH,SCW,AGRICULTURE,TDP,F,MPTC
Vadde Gangamma,Bramhasamudram,2006,29.0,Pillalapalli,VADDI,3RD,BCW,AGRICULTURE,TDP,F,MPTC
Chakali Thippeswamy,Bramhasamudram,2006,53.0,Rayalappa Doddi,CHAKALI,5TH,BCG,AGRICULTURE,INC,M,MPTC
Sreeramulu,Bramhasamudram,2006,34.0,S.Kondapuram,MADIGA,7TH,SCG,AGRICULTURE,INC,M,MPTC
G.Virupakshi Reddy,Bramhasamudram,2006,34.0,Vepulaparthy,LINGAYAT,10TH,URG,AGRICULTURE,TDP,M,MPTC
K.Chandramma,Bramhasamudram,2006,42.0,West Kodipalli,KAMMARI,5TH,URW,AGRICULTURE,TDP,F,MPTC
Ramadevi,Bukkapatnam,2006,24.0,Agraharam,,7TH,URG,FARMER,INC,F,MPTC
Peddarasi Lakshmidevi,Bukkapatnam,2006,32.0,Bukkapatnam 1,OC,7TH,URW,FARMER,TDP,F,MPTC President
Chagaleti Shanthamma,Bukkapatnam,2006,22.0,Bukkapatnam 2,BC,10TH,URW,FARMER,TDP,F,MPTC
P.Jayaramulu,Bukkapatnam,2006,44.0,Bukkapatnam 3,,,BCG,FARMER,TDP,M,MPTC
Ranga Reddy,Bukkapatnam,2006,45.0,Gasikavaripalli,,5TH,URG,FARMER,Indepen,M,MPTC
Jilleni Kristappa,Bukkapatnam,2006,34.0,Gunipalli,,,BCG,FARMER,dentTDP,M,MPTC
Shesham Musalappa,Bukkapatnam,2006,54.0,Kotha Kota,,,SCG,FARMER,INC,M,MPTC
Medamanuri Narayana Swamy,Bukkapatnam,2006,49.0,Krishnapura,,10TH,URG,FARMER,TDP,M,MPTC
K.Narayana Swamy,Bukkapatnam,2006,40.0,Marala,,5TH,STG,FARMER,TDP,M,MPTC
Manohar,Bukkapatnam,2006,31.0,Narsimpalli Thanda,BC,10TH,URG,FARMER,INC,M,MPTC
Yarram Setty Ramappa,Bukkapatnam,2006,43.0,Pamudurthi,OC,7th Class,UR(G),Farmer,INC,Male,MPTC
"T,shanthamma",Bukkapatnam,2006,29.0,Siddarampuram,,5TH,BCW,FARMER,TDP,F,MPTC
K.Peddakka,C.K.Palli,2006,45.0,Basampalli,KURUBA,,BCW,AGRICULTURE,INC,F,MPTC
P.Obulesu,C.K.Palli,2006,57.0,C.K.Palli 1,MADIGA,5TH,SCG,AGRICULTURE,INC,M,MPTC
Varadanna Gari Govinda Reddy,C.K.Palli,2006,35.0,C.K.Palli 2,KAPU,10TH,URG,AGRICULTURE,TDP,M,MPTC President
Bhoga Narasimhulu,C.K.Palli,2006,22.0,Ganginepalli,BOYA,,BCG,AGRICULTURE,INC,M,MPTC
Kunta Kinda Lakshminarasamma,C.K.Palli,2006,48.0,Medapuram 1,BOYA,7TH,URW,AGRICULTURE,TDP,F,MPTC
Nageli Surya Narayana,C.K.Palli,2006,42.0,Medapuram 2,KAMMA,,URG,AGRICULTURE,TDP,M,MPTC
Vetti Gamgamma,C.K.Palli,2006,23.0,Mustikovela,MADIGA,10TH,SCW,AGRICULTURE,TDP,F,MPTC
B.Siddappa,C.K.Palli,2006,28.0,Nagasamudram,BOYA,6TH,BCG,AGRICULTURE,INC,M,MPTC
Donkala Hanumantha Reddy,C.K.Palli,2006,49.0,Nyamaddela 1,KAPU,10TH,URG,AGRICULTURE,INC,M,MPTC
Bille Meenakshi,C.K.Palli,2006,28.0,Nyamaddela 2,KURUBA,7TH,URW,AGRICULTURE,TDP,F,MPTC
Alle Chandra Kanthamma,C.K.Palli,2006,38.0,Pyadindi,KAPU,BA,URG,AGRICULTURE,INC,F,MPTC
Bhutappa Gari Venkatesulu,C.K.Palli,2006,35.0,Venkatampalli,BOYA,,BCG,AGRICULTURE,TDP,M,MPTC
Gourappa Gari Bramarambha,Chilamathur,2006,34.0,Chilamathur 1,LINGAYAT,SSC,,AGRICULTURE,TDP,F,MPTC President
T.Alivelamma,Chilamathur,2006,44.0,Chilamathur 2,,4TH,BCW,AGRICULTURE,TDP,F,MPTC
N.Anithamma,Chilamathur,2006,32.0,Chilamathur 3,,7th,BCW,AGRICULTURE,TDP,F,MPTC
K.Sankarappa,Chilamathur,2006,44.0,Demakethapalli,,10TH,BCG,AGRICULTURE,INC,M,MPTC
Vasantha Kumari,Chilamathur,2006,49.0,Kodikonda,VYSYA,10TH,URG,AGRICULTURE,INC,F,MPTC
M.C.Venkataramappa,Chilamathur,2006,49.0,Koduru 1,,7TH,BCG,AGRICULTURE,TDP,M,MPTC
R.Saradamma,Chilamathur,2006,31.0,Koduru 2,KAPU,7TH,UG,AGRICULTURE,TDP,F,MPTC
Sudhakar Reddy,Chilamathur,2006,34.0,Moraselapalli,KAPU,5TH,,AGRICULTURE,INC,M,MPTC
R.Padmavathamma,Chilamathur,2006,39.0,Palagalapalli,KAPU,4TH,,AGRICULTURE,TDP,F,MPTC
Avula Narasamma,Chilamathur,2006,24.0,Settipalli,,5TH,SCW,AGRICULTURE,TDP,F,MPTC
Pedda Narasimhappa,Chilamathur,2006,50.0,Somagatta,,,SCG,AGRICULTURE,TDP,M,MPTC
Venkata Reddy,Chilamathur,2006,31.0,Tekulodu,KAPU,10TH,URG,AGRICULTURE,TDP,M,MPTC
Kondappa Gari Rajappa,Chilamathur,2006,44.0,Veerapuram,,4TH,BCG,AGRICULTURE,INC,M,MPTC
Laxmi.H,D.Hirehal,2006,21.0,Cherlopalli,,5TH,SCW,AGRICULTURE,INC,F,MPTC
Lingappa,D.Hirehal,2006,30.0,D.Hierhal 1,,5TH,BCG,AGRICULTURE,INC,M,MPTC
Pampanna,D.Hirehal,2006,48.0,D.Hierhal 2,,,URG,AGRICULTURE,INC,M,MPTC
Boya Vandrappa,D.Hirehal,2006,28.0,Hanumapuram,,2ND,BCG,AGRICULTURE,INC,M,MPTC
Harijana Gangadhara,D.Hirehal,2006,,Kadalur,,,SC(G),,INC,Male,MPTC President
Kamakshi,D.Hirehal,2006,23.0,Kudluru,,4TH,BCW,AGRICULTURE,TDP,F,MPTC
Laxmakka,D.Hirehal,2006,28.0,Madinehalli,,,URW,AGRICULTURE,INC,F,MPTC
Shoba,D.Hirehal,2006,24.0,Muradi,,10TH,URW,AGRICULTURE,INC,F,MPTC
Hanumapuram Ramalingappa,D.Hirehal,2006,55.0,Nagalapuram,,4TH,URG,AGRICULTURE,INC,M,MPTC
Chinna Basappa,D.Hirehal,2006,47.0,Obulapuram,,10TH,URG,AGRICULTURE,INC,M,MPTC
Chinna Hanumanthappa,D.Hirehal,2006,40.0,Pulakurthy,,5TH,BCG,AGRICULTURE,INC,M,MPTC
B.Siva Reddy,Dharmavaram,2006,37.0,Chigicherla,,INTERMEDIAT,URG,CULTIVATION,INC,M,MPTC
Kotla Narayanaswamy,Dharmavaram,2006,32.0,Darsinamala,B.C GOLLA,EV CLASS,BCG,CULTIVATION,TDP,M,MPTC
Sake Narayana,Dharmavaram,2006,49.0,Dharmapuri,S.C MADIGA,,SCG,CULTIVATION,INC,M,MPTC
Boggu Kesappa,Dharmavaram,2006,39.0,Elukuntla,BOYA,,BCG,CULTIVATION,INC,M,MPTC
Neeruganti Maruthi,Dharmavaram,2006,23.0,Gotlur 1,,IX CLASS,URG,CULTIVATION,CPI,M,MPTC
Mondi Nagalakshmii,Dharmavaram,2006,22.0,Gotlur 2,S.C.MADIGA,S.S.C,S.C (W),AGRICULTURE,INC,F,MPTC President
Tadimarri Venkatarami Reddy,Dharmavaram,2006,32.0,Kunuthur,,III CLASS,URG,LABOURCULTIVATION,INC,M,MPTC
Vaddi Chenna Anjenappa,Dharmavaram,2006,,Malla Kalva,,,BC(G),,TDP,Male,MPTC
Rekatla Bandaru Sivamma,Dharmavaram,2006,40.0,Pothukunta,BOYA,,URW,CULTIVATION,TDP,F,MPTC
Bille Nagamma,Dharmavaram,2006,47.0,Potula Nagepalli,B.C KURUBA,,B.C(W),CULTIVATION,INC,F,MPTC
D.Sreenivasulu,Dharmavaram,2006,,Rayalacheruvu,,,ST(G),,INC,Male,MPTC
Tadimarri Nagalakshmma,Dharmavaram,2006,,Regatipalli,,,UR(G),,INC,Female,MPTC
Gelevi Pothi Reddy,Dharmavaram,2006,48.0,Thummala,,S.S.C.,URG,CULTIVATION,INC,M,MPTC
Patnam Gangadar,Gandlapenta,2006,22.0,Chamala Gondi,Madiga,,SCG,Cultivation,TDP,M,MPTC
Shaik Hydervali,Gandlapenta,2006,47.0,Gandlapenta,Muslim,3RD,URG,Cultivation,TDP,M,MPTC
Kambaiah,Gandlapenta,2006,54.0,Goddulevagala,Patra,M.Com,URG,Cultivation,TDP,M,MPTC
S.Ramamohan,Gandlapenta,2006,42.0,Katarupalli,Nese,Intermediate,URG,Business,INC,M,MPTC
Suseelamma,Gandlapenta,2006,29.0,Malameedapalli,Kapu,7th,URW,,INC,F,MPTC
D.Gangaraju,Gandlapenta,2006,54.0,Somayajulapalli,Vadde,5th,BCG,Cultivation,TDP,M,MPTC President
S.Santhamma,Gandlapenta,2006,38.0,Veparala,Sugali,,STW,,INC,F,MPTC
H.Suryanarayana,Garladinne,2006,23.0,Budedu,SC(Madiga),5th Class,SC(G),cooli,TDP,M,MPTC
Vadde Siva,Garladinne,2006,24.0,Garladinne 1,BC(Vadde),,BC(G),Agriculture,TDP,M,MPTC
K.Ramanamma,Garladinne,2006,32.0,Garladinne 2,BC(Boya),,UR(W),House wife,TDP,F,MPTC
Malapathi Tirumalesu,Garladinne,2006,37.0,Iluru,OC(Kamma),Inter,UR(G),Agriculture,TDP,M,MPTC
