mandal,area,name,party
Gandlapenta,Godduvellagala,Goddu Velagala Mamatha,TDP
Gandlapenta,Malameedapalli,C Kondaiah,TDP
Gandlapenta,Veparalla,Appireddy Padmaja,TDP
Garladdinne,Kallur-I,Kondalammela Nagamma,TDP
Garladdinne,Muntimadugu,S Chithambari,TDP
Garladdinne,Kallur-2,Jaggala Kanthamma,TDP
Garladdinne,Illur,Ramanjaneyulu,TDP
Garladdinne,Marthadu,Chekkala Naganna,INC
Garladdinne,Kotanka,Thadimari Nagalaxmi,INC
Garladdinne,Budedu,Y Sridevi,TDP
Garladdinne,Penakacherla,Penukonda Narayana,INC
Garladdinne,Yerraguntla,J Anil Kumar Reddy,INC
Garladdinne,Garladinne,Molakathala Sudhakar Reddy,INC
Garladdinne,Kanampalli,T Pradeep Reddy,TDP
Garladdinne,Kamalapuram,Raghulapadu Raghunandana Reddy,INC
Gooty,Yerragudi,Pannarsu  Kadirappa,TDP
Gooty,Chetnepalli - 4,Pogula Anjali,IND
Gooty,Bethapalli,Ramachandra,INC
Gooty,Gooty - 3,Suripogula Veeranna,INC
Gooty,Bastarapalli,Nadipi Ramakrishnamma,CPM
Gooty,Abbedoddi,Pothula Renuka,TDP
Gooty,Thurakapalli,Majjiga Anjineyulu,IND
Gooty,Jakkalacheruvu,Yampalaku Rajanna,INC
Gooty,Thondapadu,Suddala Ramachandradu,INC
Gooty,Chetnepalli - 3,E Chandragiri Haridasu,IND
Gooty,Gooty - 1,Boya Krishnaveni,INC
Gooty,Gooty - 2,Lakshimathamma,INC
Gooty,Chetnepalli-I,Mandla Ramanjinamma,IND
Gooty,Ubicherla,E Ramakrishna,TDP
Gooty,Karidikonda,Sreepathinaidu S,TDP
Gooty,Peddoddi,Thapila Venkatesulu Naidu,TDP
Gooty,Gooty - 4,Kona Muralidhar Reddy,INC
Gooty,Gooty - 5,Khaja Mainoddin,TDP
Gooty,Gooty-6,Beldar Sreeramulu,INC
Gooty,Chetnepalli-2,Bommireddy Jayakrishna Reddy,TDP
Gorantla,Vanavolu-I,Savithri Bai,TDP
Gorantla,Mandalapalli-I,Pala Jayaram Naik,INC
Gorantla,Palasamudram,B Hanumakka,TDP
Gorantla,Gorantla-IV,M Kristappa,TDP
Gorantla,Kondapuram,Sankara Konda Venkata Narsamma,TDP
Gorantla,Reddicheruvupalli,Edagoti Nanjamma,TDP
Gorantla,Budili,Venkataramappa,INC
Gorantla,Gownivaripalli,Gorla Nagabhushnam,TDP
Gorantla,Mallepalli,V Narayanappa,TDP
Gorantla,Gangampalli,Sugunamma,TDP
Gorantla,Vodigepalli,Sundaramma,TDP
Gorantla,Gorantla-I,E Renuka Devi,TDP
Gorantla,Gorantla-II,P Govindamma,TDP
Gorantla,Gorantla-III,H Allabaksh,TDP
Gorantla,Kommavariapalli,C Rajagopal Reddy,TDP
Gorantla,Puleru,Mallaballi Suseelamma,TDP
Gorantla,Vanavolu-II,Jampula Venugopal,TDP
Gorantla,Mandalapalli-II,Seenappa,TDP
Gudibanda,Rallapalli-I,B H Geetha,INC
Gudibanda,Rallapalli-II,Narsimhappa,INC
Gudibanda,Muthukur,Narsaiah,INC
Gudibanda,Jambulabanda,Nagamma,INC
Gudibanda,Gudibanda-I,Akumalla Raju,INC
Gudibanda,Morubagal-II,B Muddanna,TDP
Gudibanda,Gunemorubagal,Bashappa,INC
Gudibanda,Karikera,Chinna Laxmamma,INC
Gudibanda,K Nagepalli,Basagari  Nagamma,INC
Gudibanda,Gudibanda-II,D Manjunath,INC
Gudibanda,Morubagal - 1,K Purushotam,TDP
Gudibanda,Mandalapalli,Sulappa,INC
Gudibanda,Konkallu,Erranna,INC
Gummagatta,Tallakera - II,Marekka,INC
Gummagatta,Kalugodu - II,Harijana Mareppa,INC
Gummagatta,Gummagatla,Obamma,INC
Gummagatta,Tallakera - I,B.Yellappa,INC
Gummagatta,Bhupasamudram,Govindappa,TDP
Gummagatta,Belodu,Matham Hanumanthappa,INC
Gummagatta,Pulakunta,Golla Kechamma,INC
Gummagatta,Kalugodu-I,Bali Reddi,INC
Gummagatta,Galagala,Raghava Reddi,INC
Gummagatta,Gollapalli,Thppe Rudrappa,INC
Guntakal,Nelagonda,S Govindamma,INC
Guntakal,Kasapuram,M Nettikallu,TDP
Guntakal,Konaganapalli,Sunkamma,TDP
Guntakal,Y T Cheruvu,B T Mastanappa,TDP
Guntakal,Nakkanadoddi,J Jithendra Gowd,TDP
Guntakal,Gurrampadu,Gorava Pedda Mallesu,INC
Guntakal,Gundala,Thota Lakshmi Devi,TDP
Guntakal,G Kottala,B Sarala,TDP
Guntakal,P K Cheruvu,K Naga Raju,TDP
Guntakal,Nagasamudram,G Adi Narayana,INC
Guntakal,Ayyavaripalli,G Krishtanna,TDP
Hindupur,Kirikera -I,Parvathamma,INC
Hindupur,Chalivendla,Thippanna,TDP
Hindupur,Gollapuram,B B Narsimhappa,BJP
Hindupur,Kirikera - II,Sarojamma,INC
Hindupur,Kaggallu,B. Naganna,TDP
Hindupur,Beerepalli,Govindappa,TDP
Hindupur,Malgur,T Sunitha,INC
Hindupur,Katipi,Padmavathi,TDP
Hindupur,Beevinahalli,K Sri Ramireddy,INC
Hindupur,Dalampalli,Chinna Reddy,TDP
Hindupur,Chowluru,K H Nanjunda Reddy,INC
Hindupur,Santhebidanur,C Pedda Rajappa,INC
Kadiri,Yerradoddi,Eshwar Naik S,TDP
Kadiri,Kalasamudram,Maripe Narsimulu,INC
Kadiri,Chalamakuntlapalli,Muthanna Uthamma,INC
Kadiri,Patnam,Burusu Laxmi Narayana,INC
Kadiri,K Brahmanapalli,Boggiti Narsamma,INC
Kadiri,Kadiri Rural,Bitra Ramalaxmamma,TDP
Kadiri,Eguvapalli,Bogginti Nagamani,INC
Kadiri,Mutyalacheruvu,Mude Ramana Naik,TDP
Kalyandurg,Manirevu,Sugalichatri Naik,INC
Kalyandurg,Ontimiddi,Haridana Hanumakka,IND
Kalyandurg,Garudapuram,Harijanaramanna,TDP
Kalyandurg,Palavai,H.Ramanjuneyulu,INC
Kalyandurg,Kalyandugr-I,Laxmidevamma,INC
Kalyandurg,Kalyandurg-III,Vadde Anjanamma,INC
Kalyandurg,Golla,Badenna B,TDP
Kalyandurg,Mudigallu,S.Gopal,INC
Kalyandurg,Chapiri,Hanumanthappa,INC
Kalyandurg,Duradakunta,Venkatamma,INC
Kalyandurg,Thimasamudram,S.Sujatha,INC
Kalyandurg,Dodagatta,Nallabothula Ammanamma,TDP
Kalyandurg,Kalyandurg-II,T.Vannurswamy,INC
Kalyandurg,Kalyandurg-IV,Amanullah,INC
Kalyandurg,Kalyandurg-V,K.Gopinath,INC
Kalyandurg,Kalyandurg-VI,Laxmi Narayana B,INC
Kalyandurg,East Kodipally,G.L.Harikrishna,TDP
Kalyandurg,Muddinayanipalli,Bhtari Akkanna,INC
Kalyandurg,Hilukallu,Kolakannur Thippe Swamy,TDP
Kambadur,Kambadur-III,K Ganagadhara,INC
Kambadur,Ralla Ananthapuram,S Lakshmi Kanthamma,TDP
Kambadur,Karthanaparthi,Naga Lakshmi,IND
Kambadur,Kambadur-I,A Nagamma,TDP
Kambadur,Pallur,Ramanjinamma,INC
Kambadur,Nuthimadugu,B Akkulappa,INC
Kambadur,Thimmapuram,K Kodeppa,INC
Kambadur,Chennalmpalli,Aruna Kumari,TDP
Kambadur,Mulakanur,P Govinda Reddy,INC
Kambadur,Kurakulapalli,K Narasimhulu,TDP
Kambadur,Kambadur-II,G Sree Ramulu,TDP
Kanaganapalli,Muthavakuntla,H Maruthamma,TDP
Kanaganapalli,Kondapuram,Mallesu,IND
Kanaganapalli,Yellakuntla,Golla Narayanamma,TDP
Kanaganapalli,Thumucherla,Thumucherla B Madhavappa,TDP
Kanaganapalli,Bhanukota,Balavenkatamma,TDP
Kanaganapalli,Kanaganapalli,Valamasi Papanna,TDP
Kanaganapalli,Konetinayanipalyam,M Varlakshmi,TDP
Kanaganapalli,Thogarakunta,B Prabhakar,TDP
Kanaganapalli,Dadalur,Dontireddigari Bavireddy,TDP
Kanaganapalli,Mukthapuram,Venkatapathi,TDP
Kanekal,Kanekal-IV,Laxmakka,TDP
Kanekal,Rachumarri,H Anajaneyulu,TDP
Kanekal,Brahmasamudram,B Laxmi,TDP
Kanekal,Kanekal-III,K Laxmi Devi,TDP
Kanekal,Bennikal,Boya Yerriswamy,TDP
Kanekal,Hulikera,Bheemappa,INC
Kanekal,Thumbiganur,Valem Hanumathappa,TDP
Kanekal,Hanakanahal,S K Parvathi,TDP
Kanekal,N Hanumapuram,Aleri Vijaya Laxmi,INC
Kanekal,Ganigera,P Shviarami Reddy,INC
Kanekal,Malyam,P Basavanna Goud,INC
Kanekal,Yerragunta,P Sanjeevi Reddy,TDP
Kanekal,Kanekal-I,Sarvasetti Raghavendra Gupta,TDP
Kanekal,Kanekal-II,Shek Pathimabee,TDP
Kothacheruvu,Kothacheruvu - 1,Harijana Pedda Narasimhulu,TDP
Kothacheruvu,Pothulakunta,Asha Bee D,TDP
Kothacheruvu,Byrampuram,Neeru Ganti Venkatesu,TDP
Kothacheruvu,Kesapuram,Kammara Akkulappa,TDP
Kothacheruvu,Kodapaganipalli,Maneri Umadevi,INC
Kothacheruvu,Kothacheruvu - 2,Salakka Gari Vani,TDP
Kothacheruvu,Bandlapalli,Venkataramudu,IND
Kothacheruvu,Talamarla,M Bhasakara Reddy,INC
Kothacheruvu,Iragampalli,Chandrappagari Bairavudu,TDP
Kothacheruvu,Kothacheruvu-III,P V Gari Krishnaveni,TDP
Kudair,Marutla,Korise Srinivasulu,IND
Kudair,Gotukur,Harijana Obulamma,TDP
Kudair,Kudair,H Sanganna,INC
Kudair,Udiripikonda,Ramalaxmamma,TDP
Kudair,Ipperu,N Bhashu,INC
Kudair,Korrakodu,K Srinivasulu,INC
Kudair,P Narayanapuram,K Ratnamma,INC
Kudair,Thimmapuram,Ponnupati Meri Nirmalamma,INC
Kudair,Cholasamudram,G Ramanjanamma,TDP
Kundurpi,Kariganipalli,Durgamma,INC
Kundurpi,Kundurpi-I,K.Ramadasu,TDP
Kundurpi,Enumuladoddi,Saradamma,TDP
Kundurpi,Jambugumpala,Obulapthi,CPI
Kundurpi,Malayanur,Mukku Hanumaiah,TDP
Kundurpi,Thumkunta,Siva Ligaiah,CPI
Kundurpi,Besthavaripalli,P.Premakka,INC
Kundurpi,Basapuram,K.Laxmidevi,INC
Kundurpi,Nijavalli,Narayana Reddi,TDP
Kundurpi,Appilepalli,Ganisab,INC
Kundurpi,Kundurpi-II,P.Girija,CPI
Lepakshi,Konduru,Narasamma,TDP
Lepakshi,Lepakshi-I,V Adinarayanappa,INC
Lepakshi,Manepalli,K Lakshmi Narasamma,IND
Lepakshi,Lepakshi-II,M Mallanna,INC
Lepakshi,Cholasamudram,Venkatesulu,TDP
Lepakshi,Pulamathi,T Anjamamma,TDP
Lepakshi,Kodipalli,Lakshmamma,TDP
Lepakshi,Kanchisamudram,Nagaraju,TDP
Lepakshi,Sirivaram,T Venkatesh,TDP
Lepakshi,Mydugolam,R Pyara Jan,INC
Lepakshi,Kallur,Mallikarjuna,TDP
Madakasira,Melavoy-II,Hanuma Naik,INC
Madakasira,R Ananthapuram,Krishna Venamma,TDP
Madakasira,Govindapuram,Vetti Hanumanthappa,INC
Madakasira,Madakasira-II,Raghu Ramappa,INC
Madakasira,Haresamudram,Gopalappa K,TDP
Madakasira,Chandakacherla,Laxmi Narsamma,INC
Madakasira,Gowdanahalli,Anjinamma,INC
Madakasira,Amidaladongi,Giri,TDP
Madakasira,Manur,Ramanjappa,INC
Madakasira,Madakasira-vi,C Chikka Ramappa,INC
Madakasira,Madakasira-I,Junjanna,TDP
Madakasira,Bullasamudram,Ratnamma,INC
Madakasira,Y B Halli,Putha Nigamma,TDP
Madakasira,Kallumarri,Sunandamma,TDP
Madakasira,C Kodigepalli,Laxmi Reddy,INC
Madakasira,Madakasira-III,S Fayaz,TDP
Madakasira,Madakasira-IV,K Laxmi Narsappa,TDP
Madakasira,Melavoy-I,K Prabhakara Rao,TDP
Madakasira,Madakasira-V,T Venkatesulu,TDP
Mudigubba,Kondaguttapalli,T Chowli Bai,INC
Mudigubba,Dorigallu,Bukasa Shankara Naik,INC
Mudigubba,Malakavemula,Konduru Anjinamma,INC
Mudigubba,Jonnalakothapalli,Kolala Pedda Venkatramuldu,INC
Mudigubba,D C Revu,M Eswaramma,INC
Mudigubba,Mallepalli,Derangula Gangadevi,INC
Mudigubba,Chinnakotla,Poratam Tiruppalu,INC
Mudigubba,Kodavandlapalli,Neeru Gattu Raghu Ramaiah,INC
Mudigubba,Sankepalli,Goddumari Chinabayanna,INC
Mudigubba,Mudigubba-II,Annamaneni Prameelamma,TDP
Mudigubba,Mudigubba-III,Somala Rangamma,IND
Mudigubba,Marithadu,D Srinivasa Reddy,INC
Mudigubba,Mudigubba-I,B.Vengamuni Choudary,TDP
Mudigubba,Mukthapuram,B.China Appaswamy,TDP
Mudigubba,Mangalamadaka,Anamaneni Prabhakaranaidu,TDP
N P Kunta,N P Kunta,T.Venkataramana,INC
N P Kunta,East Nadimipalli,Pamishetti Alivelamma,TDP
N P Kunta,P Kothapalli,Gadikatla Samireddi,TDP
N P Kunta,Daniyanicheruvu,C M G  Venkatasubbamma,TDP
N P Kunta,Marrikommadinne,E.Nagamma,TDP
N P Kunta,Velichelamala,V.Eswara Reddi,TDP
N P Kunta,Pedaballi,Chitikineni Ramanjulu,INC
N P Kunta,Edurudona,E Venkatanarayana,TDP
Nallacheruvu,Ubicherla,Kommu Srinivasulu,INC
Nallacheruvu,Nallacheruvu-I,Parkala Vijaya Gouri,INC
Nallacheruvu,Nallacheruvu-II,Devala Vemmaiah,INC
Nallacheruvu,K Poolakunta,Chekka Uttamma,INC
Nallacheruvu,Oruvai,Kurukuru Prameelamma,TDP
