year,electedas,name,party,segment,mandal,area,ward,age,community,edu,electioncat,occupation,sex,tot,votes
2004,MLA Candidate,V. Prabhakar Chowdary,IND,Anantapur Urban,,,,,,,,,,246290.0,24084.0
2004,MLA Candidate,K.M. Rahamthullah,TDP,Anantapur Urban,,,,,,,,,,246290.0,38278.0
2004,MLA,B. Narayana Reddy,INC,Anantapur Urban,,,,,,,,,,246290.0,76059.0
2009,MLA Candidate,D Rama Krishna,IND,Anantapur Urban,,,,,,,,,,229876.0,81.0
2009,MLA Candidate,Avulanna Kullayappa,IND,Anantapur Urban,,,,,,,,,,229876.0,82.0
2009,MLA Candidate,V Anjaneyulu,RDHP,Anantapur Urban,,,,,,,,,,229876.0,98.0
2009,MLA Candidate,Chakala Nagaraju,IND,Anantapur Urban,,,,,,,,,,229876.0,106.0
2009,MLA Candidate,D Riyaz,IND,Anantapur Urban,,,,,,,,,,229876.0,119.0
2009,MLA Candidate,S Phani Kumar,IND,Anantapur Urban,,,,,,,,,,229876.0,141.0
2009,MLA Candidate,K Basha,CPI(ML)(L),Anantapur Urban,,,,,,,,,,229876.0,207.0
2009,MLA Candidate,Dasari Adinarayana,IND,Anantapur Urban,,,,,,,,,,229876.0,214.0
2009,MLA Candidate,G Lalitha,IND,Anantapur Urban,,,,,,,,,,229876.0,284.0
2009,MLA Candidate,K Vijaya Kumar,PPOI,Anantapur Urban,,,,,,,,,,229876.0,329.0
2009,MLA Candidate,Syed Fayazuddin,BJP,Anantapur Urban,,,,,,,,,,229876.0,728.0
2009,MLA Candidate,Kasani Nagaraju,BSP,Anantapur Urban,,,,,,,,,,229876.0,1352.0
2009,MLA Candidate,S Salar Basha,IND,Anantapur Urban,,,,,,,,,,229876.0,2156.0
2009,MLA Candidate,Doctor K Kondaiah,LSP,Anantapur Urban,,,,,,,,,,229876.0,4314.0
2009,MLA Candidate,T J Prakash,PRAP,Anantapur Urban,,,,,,,,,,229876.0,28489.0
2009,MLA Candidate,Mahalakshmi Sreenivasulu,TDP,Anantapur Urban,,,,,,,,,,229876.0,32033.0
2009,MLA,B Gurunatha Reddy,INC,Anantapur Urban,,,,,,,,,,229876.0,45275.0
2014,MLA Candidate,C.Ramesh Gowd,RPS,Anantapur Urban,,,,,,,,,,505636.0,75.0
2014,MLA Candidate,M.C.Baba Fakruddin,SP,Anantapur Urban,,,,,,,,,,505636.0,84.0
2014,MLA Candidate,T.Sivadeep Ranjeet,STR,Anantapur Urban,,,,,,,,,,505636.0,92.0
2014,MLA Candidate,D.Raghavendra,SUCI,Anantapur Urban,,,,,,,,,,505636.0,103.0
2014,MLA Candidate,S. Abdul Azeez,IND,Anantapur Urban,,,,,,,,,,505636.0,122.0
2014,MLA Candidate,S.Suryachandra Naidu,IND,Anantapur Urban,,,,,,,,,,505636.0,127.0
2014,MLA Candidate,Md.Hassain,WPOI,Anantapur Urban,,,,,,,,,,505636.0,153.0
2014,MLA Candidate,Shaik. Sardar Vali,IND,Anantapur Urban,,,,,,,,,,505636.0,209.0
2014,MLA Candidate,S.Abdul Khadar,IND,Anantapur Urban,,,,,,,,,,505636.0,215.0
2014,MLA Candidate,K.Guruvenkatavittal,IND,Anantapur Urban,,,,,,,,,,505636.0,220.0
2014,MLA Candidate,Anke Kullayappa,BSP,Anantapur Urban,,,,,,,,,,505636.0,271.0
2014,MLA Candidate,A.Vamsi Krishna,IND,Anantapur Urban,,,,,,,,,,505636.0,308.0
2014,MLA Candidate,R.Chenna Rajesh Gowd,AAAP,Anantapur Urban,,,,,,,,,,505636.0,327.0
2014,MLA Candidate,T.Natesh Chowdary,IND,Anantapur Urban,,,,,,,,,,505636.0,366.0
2014,MLA Candidate,S.Ali,AIMIM,Anantapur Urban,,,,,,,,,,505636.0,667.0
2014,MLA Candidate,K.Chiranjeevi Reddy,JASPA,Anantapur Urban,,,,,,,,,,505636.0,766.0
2014,MLA Candidate,Mandla Valmiki Gangadhar,IND,Anantapur Urban,,,,,,,,,,505636.0,835.0
2014,MLA Candidate,None Of The Above,NOTA,Anantapur Urban,,,,,,,,,,505636.0,1094.0
2014,MLA Candidate,V.Govardhan Reddy,INC,Anantapur Urban,,,,,,,,,,505636.0,1473.0
2014,MLA Candidate,S.Ismail,LSP,Anantapur Urban,,,,,,,,,,505636.0,2121.0
2014,MLA Candidate,Palyam Narayanaswamy,CPI,Anantapur Urban,,,,,,,,,,505636.0,2363.0
2014,MLA Candidate,V. Rambhupal,CPM,Anantapur Urban,,,,,,,,,,505636.0,3352.0
2014,MLA Candidate,B Gurunatha Reddy,YSRCP,Anantapur Urban,,,,,,,,,,505636.0,65370.0
2014,MLA,V. Prabhakar Chowdary,TDP,Anantapur Urban,,,,,,,,,,505636.0,74704.0
2009,MLA Candidate,G. Veeranjeneya,BHSASP,Guntakal,,,,,,,,,,217807.0,583.0
2009,MLA Candidate,Pasupula Hari Haranath,BJP,Guntakal,,,,,,,,,,217807.0,1570.0
2009,MLA Candidate,D.Hemadri,IND,Guntakal,,,,,,,,,,217807.0,1610.0
2009,MLA Candidate,T.Obilesu,BSP,Guntakal,,,,,,,,,,217807.0,2740.0
2009,MLA Candidate,Pathi Ravi,PRAP,Guntakal,,,,,,,,,,217807.0,20417.0
2009,MLA Candidate,Sainath Goud Ramagowni,TDP,Guntakal,,,,,,,,,,217807.0,51753.0
2009,MLA,Madhusudhan,INC,Guntakal,,,,,,,,,,217807.0,61097.0
2014,MLA Candidate,B. Obulesu,IND,Guntakal,,,,,,,,,,464250.0,122.0
2014,MLA Candidate,E. Suresh Babu,IND,Guntakal,,,,,,,,,,464250.0,146.0
2014,MLA Candidate,Nallabothula Ramesh,AAAP,Guntakal,,,,,,,,,,464250.0,151.0
2014,MLA Candidate,D.M.D.Zabeeulla,RPS,Guntakal,,,,,,,,,,464250.0,179.0
2014,MLA Candidate,B.Sreenivasulu,IND,Guntakal,,,,,,,,,,464250.0,181.0
2014,MLA Candidate,S. Jakir,IND,Guntakal,,,,,,,,,,464250.0,196.0
2014,MLA Candidate,T. Shakunthala,IND,Guntakal,,,,,,,,,,464250.0,217.0
2014,MLA Candidate,P.Ramanjineyulu,PPOI,Guntakal,,,,,,,,,,464250.0,224.0
2014,MLA Candidate,K.Jeenathunnisa,IND,Guntakal,,,,,,,,,,464250.0,271.0
2014,MLA Candidate,Bavigadda Obulaiah,IND,Guntakal,,,,,,,,,,464250.0,333.0
2014,MLA Candidate,D.Udaykiran,IND,Guntakal,,,,,,,,,,464250.0,356.0
