name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
Ganduluri Rajamma,Dharmavaram,2001,,Gotlur 1,,,,,,TDP,,,,,
Chelimi Sanjappa,Dharmavaram,2001,,Chigicherla,,,,,,TDP,,,,,
Mala Gundla Gurappa,Dharmavaram,2001,,Regatipalli,,,,,,TDP,,,,,
Thalari Pakkirappa,Dharmavaram,2001,,Kunuthur,,,,,,INC,,,,,
Krishnamma,Dharmavaram,2001,,Thummala,,,,,,INC,,,,,
T.Narasimha Reddy,Dharmavaram,2001,,Ravulacheruvu,,,,,,TDP,,,,,
Sake Maddileti,Dharmavaram,2001,,Pothulanagepalli,,,,,,TDP,,,,,
Matteddula Obi Reddi,Dharmavaram,2001,,Gotlur 2,,,,,,BJP,,,,,
Buke Laxmi Narayana Naik,Gandlapenta,2001,,Chamalagondi,,,,,,INC,,,,,
Manchipakula Narsimulu,Gandlapenta,2001,,Somayajulapalli,,,,,,TDP,,,,,
Bosetti Padmavathamma,Gandlapenta,2001,,Katarupalli,,,,,,INC,,,,,
Kutagulla Badharvali,Gandlapenta,2001,,Gandlapenta,,,,,,TDP,,,,,
Goddu Velagala Mamatha,Gandlapenta,2001,,Godduvellagala,,,,,,TDP,,,,,
C Kondaiah,Gandlapenta,2001,,Malameedapalli,,,,,,TDP,,,,,
Appireddy Padmaja,Gandlapenta,2001,,Veparalla,,,,,,TDP,,,,,
Kondalammela Nagamma,Garladinne,2001,,Kallur 1,,,,,,TDP,,,,,
S Chithambari,Garladinne,2001,,Muntimadugu,,,,,,TDP,,,,,
Jaggala Kanthamma,Garladinne,2001,,Kallur 2,,,,,,TDP,,,,,
Ramanjaneyulu,Garladinne,2001,,Illur,,,,,,TDP,,,,,
Chekkala Naganna,Garladinne,2001,,Marthadu,,,,,,INC,,,,,
Thadimari Nagalaxmi,Garladinne,2001,,Kotanka,,,,,,INC,,,,,
Y Sridevi,Garladinne,2001,,Budedu,,,,,,TDP,,,,,
Penukonda Narayana,Garladinne,2001,,Penakacherla,,,,,,INC,,,,,
J Anil Kumar Reddy,Garladinne,2001,,Yerraguntla,,,,,,INC,,,,,
Molakathala Sudhakar Reddy,Garladinne,2001,,Garladinne,,,,,,INC,,,,,
T Pradeep Reddy,Garladinne,2001,,Kanampalli,,,,,,TDP,,,,,
Raghulapadu Raghunandana Reddy,Garladinne,2001,,Kamalapuram,,,,,,INC,,,,,
Pannarsu  Kadirappa,Gooty,2001,,Yerragudi,,,,,,TDP,,,,,
Pogula Anjali,Gooty,2001,,Chetnepalli 4,,,,,,IND,,,,,
Ramachandra,Gooty,2001,,Bethapalli,,,,,,INC,,,,,
Suripogula Veeranna,Gooty,2001,,Gooty 3,,,,,,INC,,,,,
Nadipi Ramakrishnamma,Gooty,2001,,Bastarapalli,,,,,,CPM,,,,,
Pothula Renuka,Gooty,2001,,Abbedoddi,,,,,,TDP,,,,,
Majjiga Anjineyulu,Gooty,2001,,Thurakapalli,,,,,,IND,,,,,
Yampalaku Rajanna,Gooty,2001,,Jakkalacheruvu,,,,,,INC,,,,,
Suddala Ramachandradu,Gooty,2001,,Thondapadu,,,,,,INC,,,,,
E Chandragiri Haridasu,Gooty,2001,,Chetnepalli 3,,,,,,IND,,,,,
Boya Krishnaveni,Gooty,2001,,Gooty 1,,,,,,INC,,,,,
